S.N,Name:-,Contact:-,Address:-,
169,180 Chocoxpress,085746 85093,"4/47, Vivek Khand, Patrakar Puram Rd, opp. Kendriya Vidyalaya, Vivek Khand 4, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
170,The Basil House,091101 89307,"near Hahnemann Road, Viraj Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
171,Marine Drive Cafe,082997 85894,"Marine Dr, Jiamau, Lucknow, Uttar Pradesh 226010"
172,Cafe Delhi Heights,078000 54033,"RiverSide Mall, 3, Vipin Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
173,SOHO7 Cafe and Bistro,,"3/71,First Floor, Vivek Khand 2, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
174,IRANI KAFE 2.7,091511 33343,"A1, 22, Patrakar Puram Rd, Viram Khand 1, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
175,Pomona Orchard,0522 431 3682,"3/16, Upper Ground Floor, Vinay Khand 3, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
176,Healthy Panda,091618 88811,"C, Upper Ground Floor, Chandrasekhar Azad Chowk, B-1/55, Shaheed Path, beside Mr.Brown, Vineet Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
177,Apna Cafe,093057 58304,"M 6, Apna Bazaar, Gomti Nagar, Vibhuti Khand, Lucknow, Uttar Pradesh 226010"
178,Kulhad Cafe,089797 02246,"529/448A, New Rahim Nagar, Lucknow, Uttar Pradesh 226016"
179,The Cakestation bakers & cafe,091618 88459,"Virat Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
180,Coffee Dude (Indiranagar),098383 36014,"B-5/156, Church Rd, Sector 5, Indira Nagar, Lucknow, Uttar Pradesh 226016"
181,HEALTH PLUS DIAGNOSTIC AND IMAGING CENTER,9336351002,"M J Grand, health plus diagnostic 2/478 VIBHAV KHAND, LAWN, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
S.N,Name:-,Contact:-,Address:-
